Country/entity name,Adjectivals,Demonyms
Poland,Polish,Poles
Portugal,Portuguese,Portuguese
Puerto Rico,Puerto Rican,Puerto Ricans
Qatar,Qatari,Qataris
Réunion,RéunioneseRéunionnais,RéunioneseRéunionnais and Réunionnaises
Romania,Romanian,Romanians
Russia,Russian,Russians
Rwanda,Rwandan,RwandansBanyarwanda
Saba,Saban,Sabans
Saint Barthélemy,Barthélemois,BarthélemoisBarthélemoises
"Saint Helena, Ascension and Tristan da Cunha",Saint Helenian,Saint Helenians
Saint Kitts and Nevis,KittitianNevisian,KittitiansNevisians
Saint Lucia,Saint Lucian,Saint Lucians
Saint Martin,Saint-Martinoise,Saint-MartinoisSaint-Martinoises
Saint Pierre and Miquelon,Saint-PierraisMiquelonnais,Saint-PierraisSaint-PierraisesMiquelonnaisMiquelonnaisesSaint Pierre and Miquelon Islanders
Saint Vincent and the Grenadines,Saint VincentianVincentian,Saint VincentiansVincentians
Samoa,Samoan,Samoans
San Marino,Sammarinese,Sammarinese
São Tomé and Príncipe,São Toméan,São Toméans
Saudi Arabia,SaudiSaudi Arabian,SaudisSaudi Arabians
Scotland,Scottish,ScotsScotsmen and Scotswomen
Senegal,Senegalese,Senegalese
Serbia,Serbian,SerbsSerbians
Seychelles,Seychellois,Seychellois/Seychelloises
Sierra Leone,Sierra Leonean,Sierra Leoneans
Singapore,SingaporeSingaporean,Singaporeans
Sint Eustatius,Sint EustatiusStatian,Statians
Sint Maarten,Sint Maarten,Sint Maarteners
Slovakia,Slovak,SlovaksSlovakians
Slovenia,SlovenianSlovene,SlovenesSlovenians
Solomon Islands,Solomon Island,Solomon Islanders
Somalia,Somali,Somalis
Somaliland,Somalilander,Somalilanders
South Africa,South African,South Africans
South Georgia and the South Sandwich Islands,South Georgia IslandSouth Sandwich Island,South Georgia IslandersSouth Sandwich Islanders
South Ossetia,South Ossetian,South Ossetians
South Sudan,South Sudanese,South Sudanese
Spain,Spanish,Spaniards
Sri Lanka,Sri Lankan,Sri Lankans
Sudan,Sudanese,Sudanese
Suriname,Surinamese,Surinamers
Svalbard,Svalbard,"Svalbardians, Svalbard residents"
Sweden,Swedish,Swedes
Switzerland,Swiss,Swiss
Syria,Syrian,Syrians
Taiwan,TaiwaneseFormosan,TaiwaneseFormosans
Tajikistan,Tajikistani,TajikistanisTajiks
Tanzania,Tanzanian,Tanzanians
Thailand,Thai,Thai
Timor-Leste,Timorese,Timorese
Togo,Togolese,Togolese
Tokelau,Tokelauan,Tokelauans
Tonga,Tongan,Tongans
Transnistria,"Transnistrian, Pridnestrovian","Transnistrians, Pridnestrovians"
Trinidad and Tobago,TrinidadianTobagonian,TrinidadiansTobagonians
Tunisia,Tunisian,Tunisians
Turkey,Turkish,Turks
Turkmenistan,Turkmen,Turkmens
Turks and Caicos Islands,Turks and Caicos Island,Turks and Caicos Islanders
Tuvalu,Tuvaluan,Tuvaluans
Uganda,Ugandan,Ugandans
Ukraine,Ukrainian,Ukrainians
United Arab Emirates,EmiratiEmirianEmiri,EmiratisEmiriansEmiri
United Kingdom of Great Britain and Northern Ireland,BritishUnited KingdomUK,BritonsBritish people
United States of America,AmericanUnited StatesU.S.,Americans
Uruguay,Uruguayan,Uruguayans
Uzbekistan,UzbekistaniUzbek,UzbekistanisUzbeks
Vanuatu,Ni-VanuatuVanuatuan,Ni-Vanuatu
Vatican City,Vaticanian,Vaticanians[dubious – discuss]
Venezuela,Venezuelan,Venezuelans
Vietnam,Vietnamese,Vietnamese
British Virgin Islands,British Virgin Island,British Virgin Islanders
United States Virgin Islands,U.S. Virgin Island,U.S. Virgin Islanders
Wales,Welsh,"Welsh, Welshmen and Welshwomen"
Wallis and Futuna,Wallis and FutunaWallisianFutunan,Wallis and Futuna IslandersWallisiansFutunans
Western Sahara,SahrawiSaharawiWestern Saharan,SahrawisSaharawisWestern Saharans
Yemen,Yemeni,Yemenis
Zambia,Zambian,Zambians
Zanzibar,Zanzibari,Zanzibaris
Zimbabwe,Zimbabwean,Zimbabweans
